x,y,z,distance,angle,intensity,average_intensity
0.58,17.98,-0.52,17.99,0,78,40
0.65,17.98,-0.52,18,0,97,40
-0.21,17.96,-0.84,17.98,0,44,40
-0.19,17.96,-0.42,17.97,0,62,40
0.71,17.97,-0.52,18,0,76,40
-0.14,17.95,-0.84,17.97,0,63,40
-0.13,17.97,-0.42,17.97,0,61,40
-0.08,17.95,-0.84,17.97,0,71,40
-0.07,17.97,-0.42,17.98,0,12,40
-0.02,17.95,-0.84,17.97,0,91,40
-0.01,17.97,-0.42,17.98,0,79,40
0.04,17.95,-0.84,17.97,0,101,40
0.05,17.97,-0.42,17.97,0,92,40
0.1,17.96,-0.84,17.98,0,60,40
0.12,17.96,-0.42,17.97,0,18,40
0.17,17.94,-0.84,17.96,0,39,40
0.18,17.96,-0.42,17.97,0,22,40
0.23,17.95,-0.84,17.97,0,7,40
0.24,17.97,-0.42,17.98,0,54,40
0.29,17.95,-0.84,17.97,0,30,40
0.3,17.98,-0.42,17.98,0,54,40
0.35,17.95,-0.84,17.97,0,82,40
0.36,17.96,-0.42,17.97,0,40,40
0.42,17.96,-0.84,17.98,0,100,40
0.43,17.96,-0.42,17.97,0,53,40
0.12,17.97,-0.63,17.98,0,23,40
0.19,17.97,-0.63,17.98,0,24,40
0.24,17.97,-0.63,17.98,0,63,40
0.31,17.97,-0.63,17.98,0,6,40
0.43,17.97,-0.63,17.99,0,43,40
0.49,17.97,-0.63,17.99,0,40,40
0.62,17.97,-0.63,18,0,16,40
-0.23,17.97,-0.52,17.98,0,23,40
0.35,17.95,-0.73,17.96,0,43,40
0.54,17.95,-0.73,17.97,0,23,40
0.61,17.95,-0.73,17.98,0,63,40
0.73,17.94,-0.73,17.97,0,81,40
-0.17,17.96,-0.52,17.97,0,43,40
0.74,17.97,-0.63,18,0,21,40
-0.1,17.97,-0.52,17.98,0,28,40
-0.04,17.97,-0.52,17.98,0,45,40
0.02,17.97,-0.52,17.98,0,16,40
0.08,17.96,-0.52,17.97,0,34,40
0.15,17.97,-0.52,17.98,0,14,40
0.21,17.97,-0.52,17.98,0,23,40
0.27,17.97,-0.52,17.98,0,67,40
0.39,17.97,-0.52,17.98,0,13,40
0.52,17.98,-0.52,17.99,0,22,40
-0.19,17.96,-0.63,17.98,0,63,40
-0.13,17.97,-0.63,17.98,0,63,40
-0.07,17.96,-0.63,17.98,0,63,40
0.49,17.96,-0.42,17.97,0,63,40
0.54,17.95,-0.84,17.98,0,16,40
0.55,17.96,-0.42,17.97,0,63,40
0.61,17.95,-0.84,17.98,0,19,40
0.62,17.97,-0.42,17.98,0,63,40
0.67,17.96,-0.84,17.99,0,63,40
-0.2,17.94,-0.73,17.96,0,63,40
0.68,17.97,-0.42,17.99,0,63,40
-0.18,17.96,-0.31,17.97,0,63,40
0.73,17.95,-0.84,17.99,0,8,40
-0.14,17.94,-0.73,17.96,0,63,40
0.74,17.97,-0.42,17.99,0,14,40
-0.12,17.97,-0.31,17.98,0,63,40
-0.08,17.96,-0.73,17.97,0,63,40
-0.02,17.95,-0.73,17.97,0,14,40
0.01,17.98,-0.31,17.98,0,63,40
0.04,17.95,-0.73,17.96,0,63,40
0.07,17.98,-0.31,17.98,0,63,40
0.1,17.94,-0.73,17.95,0,63,40
0.17,17.95,-0.73,17.96,0,46,40
0.2,17.98,-0.31,17.98,0,63,40
0.26,17.97,-0.31,17.98,0,23,40
0.29,17.95,-0.73,17.97,0,13,40
